t,lf,lm,bl
975,0.08235649845294941,0.06800047560347683,0.068
976,0.08245986743123335,0.06800141951164893,0.068
977,0.08245932703467258,0.06800142565359543,0.068
978,0.08245932703467258,0.06800142565359543,0.068
979,0.08246169802533879,0.06800186961378317,0.068
980,0.08246273665941532,0.0680031679877185,0.068
981,0.08246194130694545,0.06800321083060591,0.068
982,0.08241574667569586,0.0680029997761293,0.068
983,0.08241257359404258,0.06800302381797788,0.068
984,0.08240878279699823,0.0680029342104971,0.068
985,0.08243742443355402,0.06803204196831644,0.068
986,0.08245372146898669,0.06803221371508456,0.068
987,0.08245983602472105,0.06804607753989296,0.068
988,0.0824601878540387,0.06804635937392998,0.068
989,0.08245496639290989,0.06802282139184768,0.068
990,0.08246047809281501,0.06802296609144552,0.068
991,0.082454983478405,0.12304701627750221,0.068
992,0.3854523460652461,0.37100215832847366,0.371
993,0.3853079739946099,0.37100223475688443,0.371
994,0.38526778839307074,0.3710023106921014,0.371
995,0.38525341473277225,0.37100230721896177,0.371
996,0.06944688598194837,0.16262051721122073,0.055
997,0.06943569335095798,0.16241527679339268,0.055
998,0.06944088458539893,0.16202906613209575,0.055
999,0.06941386757132116,0.1622421135253829,0.055
1000,0.06929080573098187,0.16035571268584847,0.055
1001,0.06925813782033853,0.1604972828853054,0.055
1002,0.06925225743864791,0.1607147511915095,0.055
1003,0.06920923718649365,0.1596381960465729,0.055
1004,0.06899353359878599,0.16407485341514375,0.055
1005,0.06813774119157422,0.1708287773982112,0.055
1006,0.06876238678049562,0.14951795841887716,0.055
1007,0.06875993885165485,0.11687090405924452,0.055
1008,0.06885393935875715,0.11673826038909525,0.055
1009,0.06932034777302742,0.10422642919247427,0.055
1010,0.06939434608110351,0.13935948380365185,0.055
1011,0.06937234851813508,0.15251354832882638,0.055
1012,0.06908676232835224,0.17091872108049577,0.055
1013,0.06910535260076633,0.15815969274779146,0.055
1014,0.06907409082878213,0.17219493223505108,0.055
1015,0.0693271080814496,0.18475185589847243,0.055
1016,0.06931514011332257,0.18320922245196933,0.055
1017,0.06933370017894558,0.1843207452437659,0.055
1018,0.06930454787851903,0.20052098616034958,0.055
1019,2.4892126290865932,2.47500004906412,2.475
1020,2.4888317745884616,2.4750000486089543,2.475
1021,2.48941145093884,2.4750000435201924,2.475
1022,2.5492059642791602,2.535000040635474,2.535
1023,2.549447337681617,2.5350000415945897,2.535
1024,2.5487349457898,2.5350000542094713,2.535
1025,5.0665898024637634,5.053000018271047,5.053
1026,5.065949763307262,5.053000017397085,5.053
1027,5.0664212136488365,5.0530000137919036,5.053
1028,5.066429802325696,5.053000013750428,5.053
1029,5.066830620201023,5.053000013439742,5.053
1030,5.067212488232347,5.053000017115095,5.053
1031,5.067169432058316,5.053000016700393,5.053
1032,5.066694085138421,5.053000017469854,5.053
1033,5.066687626873888,5.053000017467455,5.053
1034,5.066490220289748,5.0530000161558775,5.053
1035,2.646985842149788,2.6330000445227384,2.633
1036,2.6470146740464764,2.6330000439886097,2.633
1037,2.6471163010521885,2.6330000474703334,2.633
1038,2.8293241127486892,2.815000039455853,2.815
1039,2.8293326969438013,2.8150000389809877,2.815
1040,2.8293472343640658,2.8150000369090042,2.815
1041,2.829377045266431,2.8150000378994626,2.815
1042,2.8294191630845122,2.8150000401542927,2.815
1043,2.8294031068093766,2.8150000398440884,2.815
1044,2.829406441600009,2.8150000402623414,2.815
1045,2.829370586053415,2.8150000376078586,2.815
1046,2.8293745066741653,2.8150000376864024,2.815
1047,2.8293678671352955,2.8150000369303037,2.815
1048,2.829309289894148,2.8150000356433242,2.815
1049,2.8293662337619,2.8150000382662643,2.815
1050,2.8286415555067324,2.81500003891432,2.815
1051,2.8286142713139277,2.8150000362614596,2.815
1052,0.31142817578733945,0.2970013006249726,0.297
1053,0.31146102166000944,0.29700091974248766,0.297
1054,0.3114625268684058,0.2970009419519431,0.297
1055,0.3110809822342453,0.2970000934687912,0.297
1056,0.31101925860294594,0.29700009268097904,0.297
1057,0.31109663606871324,0.2970000848557654,0.297
1058,0.3243795462642827,0.310000470849462,0.31
1059,0.32407816291186614,0.3100000331709217,0.31
1060,0.1415499258511241,0.1280000272707496,0.128
1061,0.1414541082195111,0.12800002605639932,0.128
1062,0.14096022515621875,0.12800002748788844,0.128
1063,0.13822825097390348,0.12800002028930016,0.128
1064,0.13765675266372812,0.12800001957108154,0.128
1065,0.13892169060829376,0.1280000190104499,0.128
1066,0.14117449189618797,0.12800002586759737,0.128
1067,0.13957008284490127,0.12800002788077466,0.128
1068,0.1377476710823558,0.12800002833579877,0.128
1069,0.1369797014101651,0.1280000316552274,0.128
